Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Wide Receiver,2014,9,150,distance,l2,434.20206294,406.0
Wide Receiver,2014,10,150,distance,l2,469.09124396,396.0
Wide Receiver,2014,2,20,distance,l1,480.7807815,460.0
Wide Receiver,2014,3,20,distance,l1,497.8426679,505.0
Wide Receiver,2014,4,20,distance,l1,326.14496532,384.0
Wide Receiver,2014,5,20,distance,l1,493.80189631,521.0
Wide Receiver,2014,6,20,distance,l1,576.27390178,549.0
Wide Receiver,2014,7,20,distance,l1,535.35815156,443.0
Wide Receiver,2014,8,20,distance,l1,511.58926689,493.0
Wide Receiver,2014,9,20,distance,l1,427.72357911,406.0
Wide Receiver,2014,10,20,distance,l1,456.62616051,396.0
Wide Receiver,2014,2,30,distance,l1,483.9638305,460.0
Wide Receiver,2014,3,30,distance,l1,500.48462594,505.0
Wide Receiver,2014,4,30,distance,l1,328.01721663,384.0
Wide Receiver,2014,5,30,distance,l1,503.93941177,521.0
Wide Receiver,2014,6,30,distance,l1,567.96540174,549.0
Wide Receiver,2014,7,30,distance,l1,526.40998205,443.0
Wide Receiver,2014,8,30,distance,l1,516.01967622,493.0
Wide Receiver,2014,9,30,distance,l1,430.82118723,406.0
Wide Receiver,2014,10,30,distance,l1,466.07992761,396.0
Wide Receiver,2014,2,40,distance,l1,492.99040254,460.0
Wide Receiver,2014,3,40,distance,l1,505.13327788,505.0
Wide Receiver,2014,4,40,distance,l1,328.65975038,384.0
Wide Receiver,2014,5,40,distance,l1,495.89757015,521.0
Wide Receiver,2014,6,40,distance,l1,566.81143215,549.0
Wide Receiver,2014,7,40,distance,l1,538.95988795,443.0
Wide Receiver,2014,8,40,distance,l1,526.83523988,493.0
Wide Receiver,2014,9,40,distance,l1,429.8418323,406.0
Wide Receiver,2014,10,40,distance,l1,472.8063378,396.0
Wide Receiver,2014,2,50,distance,l1,499.77731074,460.0
Wide Receiver,2014,3,50,distance,l1,510.05525313,505.0
Wide Receiver,2014,4,50,distance,l1,326.49489906,384.0
Wide Receiver,2014,5,50,distance,l1,499.92741527,521.0
Wide Receiver,2014,6,50,distance,l1,564.7711393,549.0
Wide Receiver,2014,7,50,distance,l1,539.5849895,443.0
Wide Receiver,2014,8,50,distance,l1,534.36777831,493.0
Wide Receiver,2014,9,50,distance,l1,436.88182645,406.0
Wide Receiver,2014,10,50,distance,l1,472.46207028,396.0
Wide Receiver,2014,2,60,distance,l1,500.44445311,460.0
Wide Receiver,2014,3,60,distance,l1,513.89494346,505.0
Wide Receiver,2014,4,60,distance,l1,329.77895737,384.0
Wide Receiver,2014,5,60,distance,l1,496.90449498,521.0
Wide Receiver,2014,6,60,distance,l1,569.4598283,549.0
