Position,Year,Week,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error

** ONLY 2013 DATA (for training): varying C **
Wide Receiver,2014,10,rbf,100,10.0,7.0,l2,1017.32213623,396.0

** WITH 2014 DATA: varying C, epsolon=0.0, gamma=7 **
Wide Receiver,2014,2,rbf,1,0.0,7.0,l2,310.38257094,460.0
Wide Receiver,2014,3,rbf,1,0.0,7.0,l2,330.22134847,505.0
Wide Receiver,2014,4,rbf,1,0.0,7.0,l2,270.84987066,384.0
Wide Receiver,2014,5,rbf,1,0.0,7.0,l2,406.9528506,521.0
Wide Receiver,2014,6,rbf,1,0.0,7.0,l2,442.00863279,549.0
Wide Receiver,2014,7,rbf,1,0.0,7.0,l2,446.12436449,443.0
Wide Receiver,2014,8,rbf,1,0.0,7.0,l2,424.25531657,493.0
Wide Receiver,2014,9,rbf,1,0.0,7.0,l2,341.79077219,406.0
Wide Receiver,2014,10,rbf,1,0.0,7.0,l2,378.02449786,396.0
Wide Receiver,2014,2,rbf,10,0.0,7.0,l2,324.53907772,460.0
Wide Receiver,2014,3,rbf,10,0.0,7.0,l2,323.4403513,505.0
Wide Receiver,2014,4,rbf,10,0.0,7.0,l2,260.2502981,384.0
Wide Receiver,2014,5,rbf,10,0.0,7.0,l2,412.68672937,521.0
Wide Receiver,2014,6,rbf,10,0.0,7.0,l2,444.0384114,549.0
Wide Receiver,2014,7,rbf,10,0.0,7.0,l2,443.93001767,443.0
Wide Receiver,2014,8,rbf,10,0.0,7.0,l2,422.90166045,493.0
Wide Receiver,2014,9,rbf,10,0.0,7.0,l2,340.70033359,406.0
Wide Receiver,2014,10,rbf,10,0.0,7.0,l2,383.78264367,396.0
Wide Receiver,2014,2,rbf,100,0.0,7.0,l2,312.55923719,460.0
Wide Receiver,2014,3,rbf,100,0.0,7.0,l2,312.86274683,505.0
Wide Receiver,2014,4,rbf,100,0.0,7.0,l2,257.52853607,384.0
Wide Receiver,2014,5,rbf,100,0.0,7.0,l2,406.62143792,521.0
Wide Receiver,2014,6,rbf,100,0.0,7.0,l2,438.66966544,549.0
Wide Receiver,2014,7,rbf,100,0.0,7.0,l2,436.30460767,443.0
Wide Receiver,2014,8,rbf,100,0.0,7.0,l2,422.77381743,493.0
Wide Receiver,2014,9,rbf,100,0.0,7.0,l2,340.56756785,406.0
Wide Receiver,2014,10,rbf,100,0.0,7.0,l2,386.66122162,396.0
Wide Receiver,2014,2,rbf,500,0.0,7.0,l2,301.870417,460.0
Wide Receiver,2014,3,rbf,500,0.0,7.0,l2,311.02474626,505.0
Wide Receiver,2014,4,rbf,500,0.0,7.0,l2,257.25651428,384.0
Wide Receiver,2014,5,rbf,500,0.0,7.0,l2,405.98141005,521.0
Wide Receiver,2014,6,rbf,500,0.0,7.0,l2,436.92000405,549.0
Wide Receiver,2014,7,rbf,500,0.0,7.0,l2,435.52175836,443.0
Wide Receiver,2014,8,rbf,500,0.0,7.0,l2,423.52970253,493.0
Wide Receiver,2014,9,rbf,500,0.0,7.0,l2,341.71103413,406.0
Wide Receiver,2014,10,rbf,500,0.0,7.0,l2,386.69159311,396.0
Wide Receiver,2014,2,rbf,1000,0.0,7.0,l2,298.61326189,460.0
Wide Receiver,2014,3,rbf,1000,0.0,7.0,l2,311.4863912,505.0
Wide Receiver,2014,4,rbf,1000,0.0,7.0,l2,257.95089056,384.0
Wide Receiver,2014,5,rbf,1000,0.0,7.0,l2,405.37736725,521.0
Wide Receiver,2014,6,rbf,1000,0.0,7.0,l2,436.57760265,549.0
Wide Receiver,2014,7,rbf,1000,0.0,7.0,l2,434.3686976,443.0
