Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Wide Receiver,2014,3,190,uniform,l2,[ 347.96842105],505.0
Wide Receiver,2014,4,190,uniform,l2,[ 261.08947368],384.0
Wide Receiver,2014,5,190,uniform,l2,[ 409.66842105],521.0
Wide Receiver,2014,6,190,uniform,l2,[ 463.14210526],549.0
Wide Receiver,2014,7,190,uniform,l2,[ 458.35263158],443.0
Wide Receiver,2014,8,190,uniform,l2,[ 460.30526316],493.0
Wide Receiver,2014,9,190,uniform,l2,[ 376.58421053],406.0
Wide Receiver,2014,10,190,uniform,l2,[ 417.03157895],396.0
Wide Receiver,2014,11,190,uniform,l2,[ 388.23157895],394.0
Wide Receiver,2014,2,200,uniform,l2,[ 332.87],460.0
Wide Receiver,2014,3,200,uniform,l2,[ 350.985],505.0
Wide Receiver,2014,4,200,uniform,l2,[ 261.02],384.0
Wide Receiver,2014,5,200,uniform,l2,[ 408.645],521.0
Wide Receiver,2014,6,200,uniform,l2,[ 463.49],549.0
Wide Receiver,2014,7,200,uniform,l2,[ 457.955],443.0
Wide Receiver,2014,8,200,uniform,l2,[ 461.07],493.0
Wide Receiver,2014,9,200,uniform,l2,[ 376.22],406.0
Wide Receiver,2014,10,200,uniform,l2,[ 416.57],396.0
Wide Receiver,2014,11,200,uniform,l2,[ 388.55],394.0
