Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Quarterback,2014,6,190,uniform,l2,[ 232.10526316],237.0
Quarterback,2014,7,190,uniform,l2,[ 214.55263158],197.0
Quarterback,2014,8,190,uniform,l2,[ 281.45789474],226.0
Quarterback,2014,9,190,uniform,l2,[ 238.68421053],180.0
Quarterback,2014,10,190,uniform,l2,[ 246.94210526],157.0
Quarterback,2014,11,190,uniform,l2,[ 269.74736842],158.0
Quarterback,2014,2,200,uniform,l2,[ 155.155],188.0
Quarterback,2014,3,200,uniform,l2,[ 193.84],227.0
Quarterback,2014,4,200,uniform,l2,[ 167.05],163.0
Quarterback,2014,5,200,uniform,l2,[ 241.43],209.0
Quarterback,2014,6,200,uniform,l2,[ 231.99],237.0
Quarterback,2014,7,200,uniform,l2,[ 213.395],197.0
Quarterback,2014,8,200,uniform,l2,[ 281.39],226.0
Quarterback,2014,9,200,uniform,l2,[ 238.35],180.0
Quarterback,2014,10,200,uniform,l2,[ 247.035],157.0
Quarterback,2014,11,200,uniform,l2,[ 270.26],158.0
